user_id,article_id_BWS,TOP-K_BWS
brnada-FALTER_20220330_426C78A4CD,FALTER_20211222_40076C3AB9,8
brnada-FALTER_20220330_426C78A4CD,FALTER_20211215_4ADEB44811,9
brnada-FALTER_20220330_426C78A4CD,FALTER_20220323_A9D672E0A5,10
brnada-FALTER_20220330_426C78A4CD,FALTER_20220316_7F1941A3EA,11
brnada-FALTER_20220330_426C78A4CD,FALTER_20221005_AEB2C76D66,12
brnada-FALTER_20220330_426C78A4CD,FALTER_20220202_61227AC28E,13
brnada-FALTER_20220330_426C78A4CD,FALTER_20220518_B804602C3C,14
brnada-FALTER_20220330_426C78A4CD,FALTER_20220622_A64E9B9B08,15
brnada-FALTER_20220330_4D56533486,FALTER_20220420_03E73B0284,1
brnada-FALTER_20220330_4D56533486,FALTER_20220309_42A389810E,2
brnada-FALTER_20220330_4D56533486,FALTER_20221102_92EEC85C8A,3
brnada-FALTER_20220330_4D56533486,FALTER_20220302_672863FB5A,4
brnada-FALTER_20220330_4D56533486,FALTER_20220223_EB79F5F51E,5
brnada-FALTER_20220330_4D56533486,FALTER_20220928_E5DF2B1850,6
brnada-FALTER_20220330_4D56533486,FALTER_20220907_071745C7DD,7
brnada-FALTER_20220330_4D56533486,FALTER_20220323_A229E0EDC3,8
brnada-FALTER_20220330_4D56533486,FALTER_20220302_19351A344E,9
brnada-FALTER_20220330_4D56533486,FALTER_20220316_C33003D020,10
brnada-FALTER_20220330_4D56533486,FALTER_20220216_0CFAC71764,11
brnada-FALTER_20220330_4D56533486,FALTER_20221012_D6A09D0DB1,12
brnada-FALTER_20220330_4D56533486,FALTER_20220216_154FB2A50F,13
brnada-FALTER_20220330_4D56533486,FALTER_20220309_0239B6A0BC,14
brnada-FALTER_20220330_4D56533486,FALTER_20211222_96F3A54AA0,15
brnada-FALTER_20220511_964B3F8189,FALTER_20220420_03E73B0284,1
brnada-FALTER_20220511_964B3F8189,FALTER_20220216_154FB2A50F,2
brnada-FALTER_20220511_964B3F8189,FALTER_20220309_FE59453C09,3
brnada-FALTER_20220511_964B3F8189,FALTER_20220928_C7F1FD40C8,4
brnada-FALTER_20220511_964B3F8189,FALTER_20220921_22135BD9FB,5
brnada-FALTER_20220511_964B3F8189,FALTER_20220928_E5DF2B1850,6
brnada-FALTER_20220511_964B3F8189,FALTER_20221109_F45292DD67,7
brnada-FALTER_20220511_964B3F8189,FALTER_20220302_672863FB5A,8
brnada-FALTER_20220511_964B3F8189,FALTER_20220309_54EDF6DE99,9
brnada-FALTER_20220511_964B3F8189,FALTER_20220518_B804602C3C,10
brnada-FALTER_20220511_964B3F8189,FALTER_20220302_19351A344E,11
brnada-FALTER_20220511_964B3F8189,FALTER_20220518_D9551C3082,12
brnada-FALTER_20220511_964B3F8189,FALTER_20220323_9D2681AD74,13
brnada-FALTER_20220511_964B3F8189,FALTER_20220309_E0E0B5AA9A,14
brnada-FALTER_20220511_964B3F8189,FALTER_20220413_7F2C679512,15
brnada-FALTER_20220518_EE8013F8A2,FALTER_20211215_4EF6167A2A,1
brnada-FALTER_20220518_EE8013F8A2,FALTER_20220427_169DDC1CA3,2
brnada-FALTER_20220518_EE8013F8A2,FALTER_20220420_130E405AF0,3
brnada-FALTER_20220518_EE8013F8A2,FALTER_20220720_D1344797F8,4
brnada-FALTER_20220518_EE8013F8A2,FALTER_20221026_792F2C3031,5
brnada-FALTER_20220518_EE8013F8A2,FALTER_20220928_1A92012FF7,6
brnada-FALTER_20220518_EE8013F8A2,FALTER_20220511_FBF1B6E8BF,7
brnada-FALTER_20220518_EE8013F8A2,FALTER_20220223_CDDF5A96F6,8
brnada-FALTER_20220518_EE8013F8A2,FALTER_20220413_EDC7023A23,9
brnada-FALTER_20220518_EE8013F8A2,FALTER_20220330_73CAF44312,10
brnada-FALTER_20220518_EE8013F8A2,FALTER_20211222_A35407C20B,11
brnada-FALTER_20220518_EE8013F8A2,FALTER_20220824_23AE4161B4,12
brnada-FALTER_20220518_EE8013F8A2,FALTER_20220316_E42C899665,13
brnada-FALTER_20220518_EE8013F8A2,FALTER_20211222_40076C3AB9,14
brnada-FALTER_20220518_EE8013F8A2,FALTER_20221005_AEB2C76D66,15
brnada-FALTER_20220525_52B6E1A964,FALTER_20220323_2CE7FEE241,1
brnada-FALTER_20220525_52B6E1A964,FALTER_20220831_996BEDEA5E,2
brnada-FALTER_20220525_52B6E1A964,FALTER_20220309_E0E0B5AA9A,3
brnada-FALTER_20220525_52B6E1A964,FALTER_20220316_D60200B0E2,4
brnada-FALTER_20220525_52B6E1A964,FALTER_20221005_CAE3B6980C,5
brnada-FALTER_20220525_52B6E1A964,FALTER_20221019_F87E70B8F5,6
brnada-FALTER_20220525_52B6E1A964,FALTER_20220216_0CFAC71764,7
brnada-FALTER_20220525_52B6E1A964,FALTER_20220518_B804602C3C,8
brnada-FALTER_20220525_52B6E1A964,FALTER_20220622_3C4302B106,9
brnada-FALTER_20220525_52B6E1A964,FALTER_20221109_F45292DD67,10
brnada-FALTER_20220525_52B6E1A964,FALTER_20211222_40076C3AB9,11
brnada-FALTER_20220525_52B6E1A964,FALTER_20221109_153991C14D,12
brnada-FALTER_20220525_52B6E1A964,FALTER_20220504_05D47A7910,13
brnada-FALTER_20220525_52B6E1A964,FALTER_20220330_42D1E9970A,14
brnada-FALTER_20220525_52B6E1A964,FALTER_20220824_4FE804C1B1,15
dusini-FALTER_20220406_38961C830C,FALTER_20220817_B77375F05B,1
dusini-FALTER_20220406_38961C830C,FALTER_20220907_EF69F656B5,2
dusini-FALTER_20220406_38961C830C,FALTER_20220316_28801AC320,3
dusini-FALTER_20220406_38961C830C,FALTER_20220216_0CFAC71764,4
dusini-FALTER_20220406_38961C830C,FALTER_20220330_501B548D7A,5
dusini-FALTER_20220406_38961C830C,FALTER_20220706_02713EB504,6
dusini-FALTER_20220406_38961C830C,FALTER_20220511_71668B1344,7
dusini-FALTER_20220406_38961C830C,FALTER_20220817_1DA631BC19,8
dusini-FALTER_20220406_38961C830C,FALTER_20220420_C63F753BEC,9
dusini-FALTER_20220406_38961C830C,FALTER_20220119_9AA29A282F,10
dusini-FALTER_20220406_38961C830C,FALTER_20220817_03FEAB2D01,11
dusini-FALTER_20220406_38961C830C,FALTER_20211215_342F355253,12
dusini-FALTER_20220406_38961C830C,FALTER_20220831_94A149ABB7,13
dusini-FALTER_20220406_38961C830C,FALTER_20221109_6B8EF9C1FB,14
dusini-FALTER_20220406_38961C830C,FALTER_20220420_4A481AAD54,15
dusini-FALTER_20220413_272C337CE3,FALTER_20221102_92EEC85C8A,1
dusini-FALTER_20220413_272C337CE3,FALTER_20220420_C63F753BEC,2
dusini-FALTER_20220413_272C337CE3,FALTER_20220216_0CFAC71764,3
dusini-FALTER_20220413_272C337CE3,FALTER_20220302_19351A344E,4
dusini-FALTER_20220413_272C337CE3,FALTER_20220921_22135BD9FB,5
dusini-FALTER_20220413_272C337CE3,FALTER_20220504_88561D5AE3,6
dusini-FALTER_20220413_272C337CE3,FALTER_20220302_672863FB5A,7
dusini-FALTER_20220413_272C337CE3,FALTER_20220511_71668B1344,8
dusini-FALTER_20220413_272C337CE3,FALTER_20220928_C7F1FD40C8,9
dusini-FALTER_20220413_272C337CE3,FALTER_20220518_B804602C3C,10
dusini-FALTER_20220413_272C337CE3,FALTER_20220216_154FB2A50F,11
dusini-FALTER_20220413_272C337CE3,FALTER_20220518_9965EC9A96,12
dusini-FALTER_20220413_272C337CE3,FALTER_20220511_964B3F8189,13
dusini-FALTER_20220413_272C337CE3,FALTER_20220323_9D2681AD74,14
dusini-FALTER_20220413_272C337CE3,FALTER_20220413_EDC7023A23,15
dusini-FALTER_20220413_723A6699A6,FALTER_20220608_0942739322,1
dusini-FALTER_20220413_723A6699A6,FALTER_20220914_80FA8EE8BB,2
dusini-FALTER_20220413_723A6699A6,FALTER_20221123_B107F87D4A,3
dusini-FALTER_20220413_723A6699A6,FALTER_20220126_423CDDDBE2,4
dusini-FALTER_20220413_723A6699A6,FALTER_20220302_EEEFB19294,5
dusini-FALTER_20220413_723A6699A6,FALTER_20221019_0CA617E1B5,6
dusini-FALTER_20220413_723A6699A6,FALTER_20221026_0EDFE61C97,7
dusini-FALTER_20220413_723A6699A6,FALTER_20220216_A4E46A332D,8
dusini-FALTER_20220413_723A6699A6,FALTER_20220810_F3E73967E3,9
dusini-FALTER_20220413_723A6699A6,FALTER_20221116_2A590A813A,10
dusini-FALTER_20220413_723A6699A6,FALTER_20220727_D4EFFDE2C9,11
dusini-FALTER_20220413_723A6699A6,FALTER_20220518_AF1DAF3E84,12
dusini-FALTER_20220413_723A6699A6,FALTER_20221207_768990F210,13
dusini-FALTER_20220413_723A6699A6,FALTER_20220420_3F1EDF41C2,14
dusini-FALTER_20220413_723A6699A6,FALTER_20211222_4964EEDB12,15
dusini-FALTER_20220413_8CAD826DDB,FALTER_20220323_A229E0EDC3,1
dusini-FALTER_20220413_8CAD826DDB,FALTER_20220302_5B02AED7A2,2
dusini-FALTER_20220413_8CAD826DDB,FALTER_20220316_8AE2382F6B,3
dusini-FALTER_20220413_8CAD826DDB,FALTER_20220316_5CF345D5B2,4
dusini-FALTER_20220413_8CAD826DDB,FALTER_20220406_CFF3E4B722,5
dusini-FALTER_20220413_8CAD826DDB,FALTER_20220309_54EDF6DE99,6
dusini-FALTER_20220413_8CAD826DDB,FALTER_20220803_F2C9E4BA31,7
dusini-FALTER_20220413_8CAD826DDB,FALTER_20220518_B804602C3C,8
dusini-FALTER_20220413_8CAD826DDB,FALTER_20221005_0C36289EFB,9
dusini-FALTER_20220413_8CAD826DDB,FALTER_20220302_19351A344E,10
dusini-FALTER_20220413_8CAD826DDB,FALTER_20220518_D9551C3082,11
dusini-FALTER_20220413_8CAD826DDB,FALTER_20220420_C63F753BEC,12
dusini-FALTER_20220413_8CAD826DDB,FALTER_20220921_22135BD9FB,13
dusini-FALTER_20220413_8CAD826DDB,FALTER_20220928_E5DF2B1850,14
dusini-FALTER_20220413_8CAD826DDB,FALTER_20220413_EDC7023A23,15
dusini-FALTER_20220420_456B81C1ED,FALTER_20220406_38961C830C,1
dusini-FALTER_20220420_456B81C1ED,FALTER_20220316_C99BBA71AA,2
dusini-FALTER_20220420_456B81C1ED,FALTER_20220309_42E429DB72,3
dusini-FALTER_20220420_456B81C1ED,FALTER_20220323_621ACE13A9,4
dusini-FALTER_20220420_456B81C1ED,FALTER_20220309_C7D1CAC2CC,5
dusini-FALTER_20220420_456B81C1ED,FALTER_20220302_2636725DD5,6
dusini-FALTER_20220420_456B81C1ED,FALTER_20220518_9910096646,7
dusini-FALTER_20220420_456B81C1ED,FALTER_20220302_19351A344E,8
dusini-FALTER_20220420_456B81C1ED,FALTER_20220309_1C6B8418BE,9
dusini-FALTER_20220420_456B81C1ED,FALTER_20220907_071745C7DD,10
dusini-FALTER_20220420_456B81C1ED,FALTER_20220928_C7F1FD40C8,11
dusini-FALTER_20220420_456B81C1ED,FALTER_20220727_ABE58D8343,12
dusini-FALTER_20220420_456B81C1ED,FALTER_20221102_CA7B580DFC,13
dusini-FALTER_20220420_456B81C1ED,FALTER_20221109_A2B42AA97C,14
dusini-FALTER_20220420_456B81C1ED,FALTER_20221019_9120B4D0D7,15
dusini-FALTER_20220427_B3A080073E,FALTER_20220615_0504E9EB2E,1
dusini-FALTER_20220427_B3A080073E,FALTER_20220727_2C2D722D22,2
dusini-FALTER_20220427_B3A080073E,FALTER_20220831_BA901FBA34,3
dusini-FALTER_20220427_B3A080073E,FALTER_20220511_4A7528A16C,4
dusini-FALTER_20220427_B3A080073E,FALTER_20220323_27A7C5E5E9,5
dusini-FALTER_20220427_B3A080073E,FALTER_20220427_0078E877C7,6
dusini-FALTER_20220427_B3A080073E,FALTER_20221130_3F918D7E7C,7
dusini-FALTER_20220427_B3A080073E,FALTER_20220907_E058ABCBB5,8
dusini-FALTER_20220427_B3A080073E,FALTER_20220525_CBA5FCF2F5,9
dusini-FALTER_20220427_B3A080073E,FALTER_20220518_48A2BFD79B,10
dusini-FALTER_20220427_B3A080073E,FALTER_20220727_3C956DA47F,11
dusini-FALTER_20220427_B3A080073E,FALTER_20220615_0680834F09,12
dusini-FALTER_20220427_B3A080073E,FALTER_20220330_CE3567D9B8,13
dusini-FALTER_20220427_B3A080073E,FALTER_20220727_A0E61F8EB2,14
dusini-FALTER_20220427_B3A080073E,FALTER_20221207_4627D5AD57,15
dusini-FALTER_20220427_FE8EA8FDF8,FALTER_20220608_154E5D2AE8,1
dusini-FALTER_20220427_FE8EA8FDF8,FALTER_20220330_CE3567D9B8,2
dusini-FALTER_20220427_FE8EA8FDF8,FALTER_20220720_4882054D52,3
dusini-FALTER_20220427_FE8EA8FDF8,FALTER_20220622_0B469E3484,4
dusini-FALTER_20220427_FE8EA8FDF8,FALTER_20220713_270660831B,5
dusini-FALTER_20220427_FE8EA8FDF8,FALTER_20220622_0FDF06C890,6
dusini-FALTER_20220427_FE8EA8FDF8,FALTER_20220427_66F59F5B53,7
dusini-FALTER_20220427_FE8EA8FDF8,FALTER_20220302_EEEFB19294,8
dusini-FALTER_20220427_FE8EA8FDF8,FALTER_20220831_BA901FBA34,9
dusini-FALTER_20220427_FE8EA8FDF8,FALTER_20220420_31EBD6C256,10
dusini-FALTER_20220427_FE8EA8FDF8,FALTER_20220427_F66EC58DD7,11
dusini-FALTER_20220427_FE8EA8FDF8,FALTER_20220323_8B8BF208AC,12
dusini-FALTER_20220427_FE8EA8FDF8,FALTER_20220112_3A36C4309B,13
dusini-FALTER_20220427_FE8EA8FDF8,FALTER_20221116_0EFF68E611,14
dusini-FALTER_20220427_FE8EA8FDF8,FALTER_20220907_E058ABCBB5,15
dusini-FALTER_20220511_4A7528A16C,FALTER_20220427_B3A080073E,1
dusini-FALTER_20220511_4A7528A16C,FALTER_20220202_E026B80A15,2
dusini-FALTER_20220511_4A7528A16C,FALTER_20220928_51BF4C2EDF,3
dusini-FALTER_20220511_4A7528A16C,FALTER_20220921_B9FD8D69D4,4
